%time,field.data
1697543768136662589,-0.0206930082925
1697543768236800204,-0.0185148820049
1697543768336603608,-0.0206930082925
1697543768436749139,-0.0185148820049
1697543768536677939,-0.0185148820049
1697543768637190235,-0.0185148820049
1697543768736678921,-0.0185148820049
1697543768836848389,-0.0206930082925
1697543768937025701,-0.0185148820049
1697543769036801734,-0.0185148820049
1697543769135856924,-0.0185148820049
1697543769235820859,-0.0185148820049
1697543769336045833,-0.0185148820049
1697543769436461999,-0.0185148820049
1697543769536463401,-0.0185148820049
1697543769636441314,-0.0185148820049
1697543769736509944,-0.0185148820049
1697543769836450675,-0.0206930082925
1697543769936714309,-0.0217820419646
1697543770036346843,-0.0185148820049
1697543770136705579,-0.0206930082925
1697543770236558614,-0.0185148820049
1697543770336594539,-0.0185148820049
1697543770436609967,-0.0185148820049
1697543770536968479,-0.0185148820049
1697543770636829546,-0.0206930082925
1697543770736412766,-0.0185148820049
1697543770836734526,-0.0185148820049
1697543770936657801,-0.0185148820049
1697543771036918282,-0.0185148820049
1697543771136488438,-0.0206930082925
1697543771236316827,-0.0206930082925
1697543771336768033,-0.0185148820049
1697543771436472559,-0.0185148820049
1697543771536602899,-0.0620707653721
1697543771636517932,-0.0686023792237
1697543771736269575,-0.124083764311
1697543771836903443,-0.192485444869
1697543771936274262,-0.373565009951
1697543772036706352,-0.467293904124
1697543772136445025,-0.542060836652
1697543772236616813,-0.630592516749
1697543772336451943,-0.839134705491
1697543772436516652,-0.919307424299
1697543772536469743,-1.00423613815
1697543772636629791,-1.08498755726
1697543772736759011,-1.24685625505
1697543772836527354,-1.32615174454
1697543772936807046,-1.39623952137
1697543773036711697,-1.4703110615
1697543773136369974,-1.5973956083
1697543773236431232,-1.65906509452
1697543773336490224,-1.71122048787
1697543773436443758,-1.76363993087
1697543773536367892,-1.85040112001
1697543773636790649,-1.88408869922
1697543773736613285,-1.91882187697
1697543773836815736,-1.94594091683
1697543773936583266,-1.98856084196
1697543774036318764,-2.00485579369
1697543774136940393,-2.01192233756
1697543774236802900,-2.01660238597
1697543774336764787,-2.01833259577
1697543774436757512,-2.01800925229
1697543774536731990,-2.01833259577
1697543774637143054,-2.01833259577
1697543774736621771,-2.01833259577
1697543774836128071,-2.01800925229
1697543774936246924,-2.01800925229
1697543775035824543,-2.01826003529
1697543775136468998,-2.01800925229
1697543775236673215,-2.01800925229
1697543775336724120,-2.01833259577
1697543775436821088,-2.01800925229
1697543775536640762,-2.01826003529
1697543775636930949,-2.01833259577
1697543775736618189,-2.01800925229
1697543775836744951,-2.01800925229
1697543775936522822,-2.01800925229
1697543776036831842,-2.01800925229
1697543776136786333,-2.01800925229
1697543776236871355,-2.01800925229
1697543776336805644,-2.01800925229
1697543776436618229,-2.01800925229
1697543776537347532,-2.01826003529
1697543776636887509,-2.01800925229
1697543776736504720,-2.01833259577
%time,field.data
1697543768136662583,2.51689224103
1697543768236776283,2.51691563035
1697543768336562732,2.51689224103
1697543768436749105,2.51691563035
1697543768536663903,2.51691563035
1697543768637152875,2.51691563035
1697543768736650718,2.51691563035
1697543768836779047,2.51689224103
1697543768937022862,2.51691563035
1697543769036765080,2.51691563035
1697543769135841924,2.51691563035
1697543769235816088,2.51691563035
1697543769336005830,2.51691563035
1697543769436472852,2.51691563035
1697543769536426059,2.51691563035
1697543769636430359,2.51691563035
1697543769736469392,2.51691563035
1697543769836433669,2.51689224103
1697543769936634660,2.51687804049
1697543770036309951,2.51691563035
1697543770136678977,2.51689224103
1697543770236488369,2.51691563035
1697543770336560055,2.51691563035
1697543770436575394,2.51691563035
1697543770536958867,2.51691563035
1697543770636824671,2.51689224103
1697543770736260936,2.51691563035
1697543770836712601,2.51691563035
1697543770936645978,2.51691563035
1697543771036848219,2.51691563035
1697543771136454399,2.51689224103
1697543771236261762,2.51689224103
1697543771336768391,2.51691563035
1697543771436449143,2.51691563035
1697543771536476666,2.51607367122
1697543771636485713,2.51587322097
1697543771736223786,2.51327722884
1697543771836846895,2.50799798175
1697543771936240713,2.48266735523
1697543772036677508,2.46307778113
1697543772136409597,2.44376094568
1697543772236560828,2.41730286302
1697543772336451960,2.33665930615
1697543772436473432,2.29821040986
1697543772536446583,2.2525859716
1697543772636580545,2.20420732069
1697543772736723501,2.09091337639
1697543772836505764,2.02615278973
1697543772936760578,1.96250582454
1697543773036667797,1.88922420321
1697543773136351701,1.74149911486
1697543773236380437,1.65957836885
1697543773336452009,1.58038746445
1697543773436441784,1.49403401131
1697543773536349920,1.32075069593
1697543773636739630,1.23989725175
1697543773736575696,1.14389629441
1697543773836795018,1.05453317845
1697543773936557203,0.867175867458
1697543774036284759,0.764451223011
1697543774136891800,0.6922463254
1697543774236685363,0.621066165512
1697543774336737693,0.550992939352
1697543774436714086,0.552032960978
1697543774536661042,0.550992939352
1697543774637105146,0.550992939352
1697543774736590980,0.550992939352
1697543774836120480,0.552032960978
1697543774936198529,0.552032960978
1697543775035778417,0.5489371806
1697543775136413558,0.552032960978
1697543775236573025,0.552032960978
1697543775336649783,0.550992939352
1697543775436757622,0.552032960978
1697543775536603698,0.5489371806
1697543775636898058,0.550992939352
1697543775736586576,0.552032960978
1697543775836711545,0.552032960978
1697543775936494133,0.552032960978
1697543776036800717,0.552032960978
1697543776136638866,0.552032960978
1697543776236833323,0.552032960978
1697543776336769276,0.552032960978
1697543776436487010,0.552032960978
1697543776537305351,0.5489371806
1697543776636851103,0.552032960978
1697543776736451271,0.550992939352
1697543776836594202,0.5489371806
